Start trying python Q curve subtraction
QCV3608133393.csv
Newest  213 MHz Q curve 5/2/18
NMRave.csv
Unused
Tune2.csv




36231.0000
74738.9044
  224.3700
    0.0005
  401.0000
    9.0000
   23.7500
    3.2990
    2.2230
    2.9757
    1.8560
    0.0058
    0.8000
 1000.0000
    1.0000
    1.0000
    0.0000
  306.1074
    1.0000
  224.3676
    1.0000
    9.0000
    5.0000
    2.1333
   33.8900
    0.0001
   -0.0000
   -0.0001
   -0.0000
   -0.0000
    0.0001
   -0.0000
   -0.0000
   -0.0001
   -0.0000
    0.0001
    0.0001
    0.0001
    0.0002
    0.0001
    0.0002
    0.0003
    0.0001
    0.0002
    0.0004
    0.0004
    0.0003
    0.0003
    0.0004
    0.0005
    0.0004
    0.0005
    0.0004
    0.0006
    0.0004
    0.0005
    0.0005
    0.0005
    0.0005
    0.0007
    0.0005
    0.0007
    0.0008
    0.0007
    0.0007
    0.0009
    0.0008
    0.0009
    0.0008
    0.0010
    0.0010
    0.0009
    0.0011
    0.0011
    0.0012
    0.0012
    0.0013
    0.0013
    0.0014
    0.0014
    0.0015
    0.0016
    0.0015
    0.0016
    0.0016
    0.0017
    0.0018
    0.0018
    0.0018
    0.0019
    0.0021
    0.0021
    0.0021
    0.0023
    0.0024
    0.0025
    0.0025
    0.0026
    0.0027
    0.0028
    0.0028
    0.0028
    0.0031
    0.0030
    0.0030
    0.0031
    0.0032
    0.0035
    0.0036
    0.0035
    0.0038
    0.0038
    0.0038
    0.0041
    0.0043
    0.0043
    0.0042
    0.0046
    0.0046
    0.0049
    0.0048
    0.0050
    0.0052
    0.0054
    0.0056
    0.0056
    0.0058
    0.0060
    0.0062
    0.0064
    0.0065
    0.0068
    0.0071
    0.0072
    0.0073
    0.0077
    0.0079
    0.0082
    0.0084
    0.0086
    0.0088
    0.0090
    0.0094
    0.0096
    0.0099
    0.0103
    0.0106
    0.0108
    0.0112
    0.0117
    0.0122
    0.0123
    0.0127
    0.0132
    0.0138
    0.0141
    0.0147
    0.0152
    0.0156
    0.0162
    0.0166
    0.0173
    0.0179
    0.0185
    0.0191
    0.0198
    0.0206
    0.0214
    0.0221
    0.0229
    0.0238
    0.0246
    0.0256
    0.0267
    0.0277
    0.0289
    0.0301
    0.0312
    0.0326
    0.0338
    0.0355
    0.0370
    0.0387
    0.0404
    0.0422
    0.0445
    0.0465
    0.0486
    0.0511
    0.0538
    0.0567
    0.0596
    0.0629
    0.0662
    0.0698
    0.0740
    0.0783
    0.0832
    0.0882
    0.0934
    0.0995
    0.1062
    0.1131
    0.1209
    0.1289
    0.1379
    0.1478
    0.1585
    0.1695
    0.1815
    0.1941
    0.2078
    0.2212
    0.2348
    0.2483
    0.2622
    0.2749
    0.2854
    0.2944
    0.3009
    0.3049
    0.3058
    0.3038
    0.2988
    0.2906
    0.2801
    0.2684
    0.2548
    0.2399
    0.2247
    0.2097
    0.1951
    0.1808
    0.1671
    0.1543
    0.1429
    0.1322
    0.1221
    0.1123
    0.1037
    0.0965
    0.0897
    0.0828
    0.0769
    0.0713
    0.0666
    0.0623
    0.0578
    0.0540
    0.0506
    0.0472
    0.0443
    0.0414
    0.0390
    0.0365
    0.0345
    0.0323
    0.0302
    0.0284
    0.0271
    0.0253
    0.0240
    0.0227
    0.0213
    0.0202
    0.0190
    0.0180
    0.0169
    0.0161
    0.0150
    0.0143
    0.0136
    0.0128
    0.0120
    0.0114
    0.0107
    0.0102
    0.0096
    0.0091
    0.0085
    0.0080
    0.0076
    0.0071
    0.0067
    0.0062
    0.0058
    0.0054
    0.0052
    0.0049
    0.0045
    0.0042
    0.0040
    0.0035
    0.0033
    0.0031
    0.0028
    0.0026
    0.0022
    0.0022
    0.0020
    0.0018
    0.0015
    0.0014
    0.0012
    0.0010
    0.0009
    0.0007
    0.0005
    0.0005
    0.0003
    0.0002
    0.0000
    0.0000
   -0.0001
   -0.0003
   -0.0002
   -0.0004
   -0.0004
   -0.0006
   -0.0007
   -0.0009
   -0.0009
   -0.0009
   -0.0010
   -0.0012
   -0.0011
   -0.0012
   -0.0013
   -0.0016
   -0.0014
   -0.0016
   -0.0016
   -0.0017
   -0.0018
   -0.0018
   -0.0017
   -0.0019
   -0.0020
   -0.0020
   -0.0021
   -0.0021
   -0.0020
   -0.0021
   -0.0022
   -0.0022
   -0.0023
   -0.0024
   -0.0024
   -0.0025
   -0.0025
   -0.0025
   -0.0027
   -0.0025
   -0.0026
   -0.0025
   -0.0027
   -0.0026
   -0.0026
   -0.0027
   -0.0027
   -0.0027
   -0.0027
   -0.0027
   -0.0028
   -0.0027
   -0.0029
   -0.0029
   -0.0028
   -0.0028
   -0.0029
   -0.0029
   -0.0031
   -0.0031
   -0.0031
   -0.0031
   -0.0030
   -0.0031
   -0.0032
   -0.0033
   -0.0033
   -0.0031
   -0.0031
   -0.0032
   -0.0032
   -0.0032
   -0.0033
   -0.0034
   -0.0033
   -0.0033
   -0.0033
   -0.0032
   -0.0032
   -0.0032
   -0.0031
   -0.0031
   -0.0031
   -0.0032
   -0.0032
   -0.0032
   -0.0031
   -0.0032
   -0.0031
   -0.0031
   -0.0031
   -0.0032
   -0.0033
   -0.0032
   -0.0032
   -0.0032
   -0.0034
   -0.0033
   -0.0032
   -0.0033
   -0.0032
   -0.0033
   -0.0033
   -0.0033
   -0.0033
   -0.0034
   -0.0033
   -0.0033
   -0.0033
   -0.0033
   -0.0034
   -0.0034
   -0.0034
