212.6	3.62535
212.608	3.49109
212.616	3.35901
212.624	3.23015
212.632	3.10187
212.64	2.97566
212.648	2.85319
212.656	2.73327
212.664	2.6154
212.672	2.49892
212.68	2.38543
212.688	2.27525
212.696	2.16519
212.704	2.06082
212.712	1.95774
212.72	1.85562
212.728	1.75768
212.736	1.6602
212.744	1.56766
212.752	1.47706
212.76	1.38824
212.768	1.30183
212.776	1.21884
212.784	1.13835
212.792	1.06165
212.8	0.986213
212.808	0.914637
212.816	0.845054
212.824	0.778129
212.832	0.71352
212.84	0.652442
212.848	0.593885
212.856	0.538883
212.864	0.486113
212.872	0.436288
212.88	0.390549
212.888	0.346733
212.896	0.304794
212.904	0.266372
212.912	0.231423
212.92	0.19898
212.928	0.170491
212.936	0.144536
212.944	0.121594
212.952	0.1013
212.96	0.0850051
212.968	0.0703545
212.976	0.059904
212.984	0.0523121
212.992	0.0478121
213	0.046403
213.008	0.0495495
213.016	0.054304
213.024	0.0628424
213.032	0.0759091
213.04	0.0914677
213.048	0.108598
213.056	0.131004
213.064	0.156249
213.072	0.184198
213.08	0.215236
213.088	0.251137
213.096	0.290646
213.104	0.333279
213.112	0.378207
213.12	0.428231
213.128	0.481024
213.136	0.538558
213.144	0.600205
213.152	0.663834
213.16	0.730908
213.168	0.801901
213.176	0.877466
213.184	0.956417
213.192	1.03836
213.2	1.12593
213.208	1.21493
213.216	1.30826
213.224	1.40667
213.232	1.50859
213.24	1.61504
213.248	1.72502
213.256	1.83846
213.264	1.9547
213.272	2.07806
213.28	2.20204
213.288	2.33134
213.296	2.46505
213.304	2.60148
213.312	2.74396
213.32	2.88981
213.328	3.03998
213.336	3.19419
213.344	3.35229
213.352	3.51571
213.36	3.68296
213.368	3.85406
213.376	4.02889
213.384	4.20758
213.392	4.392
213.4	4.5809
