212.8	-0.465212
212.805	-0.451738
212.81	-0.436199
212.815	-0.423063
212.82	-0.412986
212.825	-0.399502
212.83	-0.389697
212.835	-0.379608
212.84	-0.370472
212.845	-0.361376
212.85	-0.354281
212.855	-0.345738
212.86	-0.338915
212.865	-0.335665
212.87	-0.329287
212.875	-0.324553
212.88	-0.319567
212.885	-0.316365
212.89	-0.313298
212.895	-0.309281
212.9	-0.307634
212.905	-0.30517
212.91	-0.303601
212.915	-0.302708
212.92	-0.300889
212.925	-0.300225
212.93	-0.30038
212.935	-0.299491
212.94	-0.29977
212.945	-0.299704
212.95	-0.300853
212.955	-0.301163
212.96	-0.300844
212.965	-0.303015
212.97	-0.300691
212.975	-0.302825
212.98	-0.30343
212.985	-0.303052
212.99	-0.305893
212.995	-0.305197
213	-0.306628
213.005	-0.30504
213.01	-0.307382
213.015	-0.306787
213.02	-0.30611
213.025	-0.306512
213.03	-0.305703
213.035	-0.305501
213.04	-0.303479
213.045	-0.302526
213.05	-0.299286
213.055	-0.298754
213.06	-0.29565
213.065	-0.292491
213.07	-0.289229
213.075	-0.28468
213.08	-0.280758
213.085	-0.276367
213.09	-0.272015
213.095	-0.264774
213.1	-0.259106
213.105	-0.250759
213.11	-0.242766
213.115	-0.23413
213.12	-0.224978
213.125	-0.215745
213.13	-0.205455
213.135	-0.194392
213.14	-0.181024
213.145	-0.168318
213.15	-0.154413
213.155	-0.140029
213.16	-0.123972
213.165	-0.108712
213.17	-0.0914171
213.175	-0.072293
213.18	-0.0547541
213.185	-0.0334577
213.19	-0.0138413
213.195	0.00791846
213.2	0.030717
