212.6	6.13244	
212.608	5.90649	
212.616	5.68349	
212.624	5.46416	
212.632	5.24862	
212.64	5.03634	
212.648	4.82834	
212.656	4.62401	
212.664	4.42292	
212.672	4.22563	
212.68	4.0325	
212.688	3.8424	
212.696	3.65637	
212.704	3.47477	
212.712	3.2995	
212.72	3.12345	
212.728	2.95372	
212.736	2.78813	
212.744	2.62714	
212.752	2.47028	
212.76	2.31769	
212.768	2.16937	
212.776	2.02503	
212.784	1.8857	
212.792	1.75022	
212.8	1.61959	
212.808	1.49339	
212.816	1.3722	
212.824	1.25507	
212.832	1.14242	
212.84	1.03515	
212.848	0.932813	
212.856	0.835385	
212.864	0.742739	
212.872	0.654867	
212.88	0.571594	
212.888	0.494128	
212.896	0.42158	
212.904	0.354322	
212.912	0.291801	
212.92	0.234718	
212.928	0.183286	
212.936	0.137017	
212.944	0.0960592	
212.952	0.060585	
212.96	0.0306555	
212.968	0.00651461	
212.976	-0.0124478	
212.984	-0.0254716	
212.992	-0.0332856	
213	-0.0349994	
213.008	-0.0308712	
213.016	-0.020767	
213.024	-0.00502422	
213.032	0.016502	
213.04	0.044502	
213.048	0.0780964	
213.056	0.118083	
213.064	0.164461	
213.072	0.217009	
213.08	0.275558	
213.088	0.340717	
213.096	0.412312	
213.104	0.490544	
213.112	0.57575	
213.12	0.667077	
213.128	0.764115	
213.136	0.869635	
213.144	0.981624	
213.152	1.10001	
213.16	1.22578	
213.168	1.3588	
213.176	1.49822	
213.184	1.64432	
213.192	1.79813	
213.2	1.95886	
213.208	2.12729	
213.216	2.30237	
213.224	2.48473	
213.232	2.6746	
213.24	2.87218	
213.248	3.07708	
213.256	3.29025	
213.264	3.51014	
213.272	3.73792	
213.28	3.97442	
213.288	4.21804	
213.296	4.46945	
213.304	4.72852	
213.312	4.99604	
213.32	5.2707	
213.328	5.55383	
213.336	5.84517	
213.344	6.14415	
213.352	6.4527	
213.36	6.76866	
213.368	7.09319	
213.376	7.42583	
213.384	7.76577	
213.392	8.1156	
213.4	8.47314	
